"ONS_Code","PCV_12m","PCV_24m","Population_12m","Population_24m","Year","Quarter","Timepoint","Vaccine_Schedule","UTLA_Name"
"E08000026",95.9336099585062,97.2579263067695,1205,1167,"2013/2014","Q3","2","0",NA
"E08000027",97.5435005117707,96.4682139253279,977,991,"2013/2014","Q3","2","0",NA
"E06000019",94.6169772256729,91.1255411255411,483,462,"2013/2014","Q3","2","0",NA
"E08000028",92.1241050119332,93.3168316831683,1257,1212,"2013/2014","Q3","2","0",NA
"E06000051",96.7142857142857,98.3914209115281,700,746,"2013/2014","Q3","2","0",NA
"E08000029",96.6463414634146,94.9728260869565,656,736,"2013/2014","Q3","2","0",NA
"E10000028",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E06000021",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E06000020",96.8807339449541,96.797153024911,545,562,"2013/2014","Q3","2","0",NA
"E08000030",96.570796460177,98.1438515081206,904,862,"2013/2014","Q3","2","0",NA
"E10000031",98.2973149967256,97.8203434610304,1527,1514,"2013/2014","Q3","2","0",NA
"E08000031",91.6666666666666,92.8188638799571,888,933,"2013/2014","Q3","2","0",NA
"E10000034",95.5944477972239,93.6050156739812,1657,1595,"2013/2014","Q3","2","0",NA
"E06000055",97.4169741697417,96.1937716262976,542,578,"2013/2014","Q3","2","0",NA
"E10000003",93.9501779359431,91.2352639671963,1967,1951,"2013/2014","Q3","2","0",NA
"E06000056",97.3224679860303,96.2841530054645,859,915,"2013/2014","Q3","2","0",NA
"E10000012",95.8937198067633,96.6142684401451,828,827,"2013/2014","Q3","2","0",NA
"E10000015",96.969696969697,96.3575303539137,3861,3871,"2013/2014","Q3","2","0",NA
"E06000032",95.3596287703016,91.0532276330691,862,883,"2013/2014","Q3","2","0",NA
"E10000020",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E06000031",93.9354838709677,92,775,800,"2013/2014","Q3","2","0",NA
"E06000033",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E10000029",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E06000034",95.6856702619414,95.016077170418,649,622,"2013/2014","Q3","2","0",NA
"E09000002",88.4735202492212,88.0165289256198,963,968,"2013/2014","Q3","2","0",NA
"E09000003",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E09000004",88.7920298879203,92.1219822109276,803,787,"2013/2014","Q3","2","0",NA
"E09000005",93.0831493745401,88.3449883449883,1359,1287,"2013/2014","Q3","2","0",NA
"E09000006",94.8325358851675,90.8597285067873,1045,1105,"2013/2014","Q3","2","0",NA
"E09000007",92.0058139534884,81.5752461322082,688,711,"2013/2014","Q3","2","0",NA
"E09000008",88.2817643186307,88.3514986376022,1519,1468,"2013/2014","Q3","2","0",NA
"E09000009",94.0366972477064,88.1824020552344,1526,1557,"2013/2014","Q3","2","0",NA
"E09000010",76.6533864541833,73.1259968102073,1255,1254,"2013/2014","Q3","2","0",NA
"E09000011",91.018444266239,86.1064891846922,1247,1202,"2013/2014","Q3","2","0",NA
"E09000012",86.2694300518135,88.8681010289991,1158,1069,"2013/2014","Q3","2","0",NA
"E09000013",81.0185185185185,81.8037974683544,648,632,"2013/2014","Q3","2","0",NA
"E09000014",89.4934333958724,86.1523244312562,1066,1011,"2013/2014","Q3","2","0",NA
"E09000015",95.3516090584028,89.1922639362913,839,879,"2013/2014","Q3","2","0",NA
"E09000016",87.7688172043011,88.1533101045296,744,861,"2013/2014","Q3","2","0",NA
"E09000017",91.1380597014925,89.8758357211079,1072,1047,"2013/2014","Q3","2","0",NA
"E09000018",91.1504424778761,83.4470989761092,1130,1172,"2013/2014","Q3","2","0",NA
"E09000019",97.6833976833977,95.9919839679359,518,499,"2013/2014","Q3","2","0",NA
"E09000020",77.0657672849916,73.5135135135135,593,555,"2013/2014","Q3","2","0",NA
"E09000021",92.0114122681883,88.150289017341,701,692,"2013/2014","Q3","2","0",NA
"E09000022",90.9623430962343,91.3479052823315,1195,1098,"2013/2014","Q3","2","0",NA
"E09000023",88.1781376518219,84.7111111111111,1235,1125,"2013/2014","Q3","2","0",NA
"E09000024",83.4183673469388,86.340206185567,784,776,"2013/2014","Q3","2","0",NA
"E09000025",88.4967320261438,84.2036553524804,1530,1532,"2013/2014","Q3","2","0",NA
"E09000026",91.9589392643285,89.9074852817494,1169,1189,"2013/2014","Q3","2","0",NA
"E09000027",92.7297668038409,85.1755526657997,729,769,"2013/2014","Q3","2","0",NA
"E09000028",90.5057675244011,89.344262295082,1127,1098,"2013/2014","Q3","2","0",NA
"E09000029",90.0316455696203,88.8268156424581,632,716,"2013/2014","Q3","2","0",NA
"E09000030",95.169946332737,94.2779291553134,1118,1101,"2013/2014","Q3","2","0",NA
"E09000031",85.7024106400665,82.8990228013029,1203,1228,"2013/2014","Q3","2","0",NA
"E09000032",90.041782729805,85.2066715010878,1436,1379,"2013/2014","Q3","2","0",NA
"E09000033",81.074168797954,75.9887005649718,782,708,"2013/2014","Q3","2","0",NA
"E06000036",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E06000043",92.2222222222222,91.2234042553192,810,752,"2013/2014","Q3","2","0",NA
"E10000002",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E10000011",93.6531365313653,86.6955892986262,1355,1383,"2013/2014","Q3","2","0",NA
"E10000014",96.6979933959868,94.8035803083043,3937,4022,"2013/2014","Q3","2","0",NA
"E06000046",94.1176470588235,91.1931818181818,323,352,"2013/2014","Q3","2","0",NA
"E10000016",91.6856492027335,93.007154396492,4390,4333,"2013/2014","Q3","2","0",NA
"E06000035",94.7368421052632,94.8633879781421,969,915,"2013/2014","Q3","2","0",NA
"E06000042",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E10000025",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E06000044",96.4387464387464,95.0301204819277,702,664,"2013/2014","Q3","2","0",NA
"E06000038",91.4183551847437,90.4516129032258,839,775,"2013/2014","Q3","2","0",NA
"E06000039",92.2727272727273,90.2578796561605,660,698,"2013/2014","Q3","2","0",NA
"E06000045",93.7859608745685,94.9506037321625,869,911,"2013/2014","Q3","2","0",NA
"E10000030",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
